Tarih,Kategori,Bölge,Kanal,Müşteri Segmenti,Birim Fiyat,Adet,İndirim Oranı,Net Ciro,Kâr
2023-01-01,Kozmetik,Akdeniz,Mobil Uygulama,Sadık Müşteri,239.03,1,0.2,191.23,72.67
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,12000.0,1,0.0,12000.0,1680.0
2023-01-01,Giyim,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,788.99,1,0.05,749.54,239.85
2023-01-01,Elektronik,İç Anadolu,Web Sitesi,Sadık Müşteri,6431.56,1,0.0,6431.56,900.42
2023-01-01,Elektronik,Doğu & Güneydoğu Anadolu,Web Sitesi,Sadık Müşteri,7181.75,1,0.0,7181.75,1005.44
2023-01-01,Kozmetik,Ege,Mobil Uygulama,Yeni Müşteri,703.98,3,0.1,1900.75,722.28
2023-01-01,Kozmetik,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,315.22,3,0.0,945.66,359.35
2023-01-01,Kitap & Kırtasiye,Marmara,Web Sitesi,Kayıtlı Müşteri,400.0,1,0.0,400.0,80.0
2023-01-01,Giyim,Marmara,Mobil Uygulama,Yeni Müşteri,679.01,1,0.05,645.06,206.42
2023-01-01,Giyim,İç Anadolu,Web Sitesi,Yeni Müşteri,543.85,1,0.2,435.08,139.23
2023-01-01,Giyim,İç Anadolu,Mobil Uygulama,Sadık Müşteri,784.48,1,0.0,784.48,251.03
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,4825.94,1,0.05,4584.64,641.85
2023-01-01,Elektronik,Karadeniz,Web Sitesi,Kayıtlı Müşteri,4316.73,1,0.15,3669.22,513.69
2023-01-01,Giyim,Karadeniz,Mobil Uygulama,Kayıtlı Müşteri,715.45,1,0.1,643.91,206.05
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,5724.86,1,0.05,5438.62,761.41
2023-01-01,Ev & Yaşam,Ege,Mobil Uygulama,Sadık Müşteri,2783.34,1,0.15,2365.84,615.12
2023-01-01,Giyim,Marmara,Mobil Uygulama,Sadık Müşteri,822.14,1,0.15,698.82,223.62
2023-01-01,Spor & Outdoor,Ege,Mobil Uygulama,Kayıtlı Müşteri,1730.82,2,0.1,3115.47,685.4
2023-01-01,Kozmetik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,295.37,1,0.05,280.6,106.63
2023-01-01,Giyim,Ege,Mobil Uygulama,Sadık Müşteri,507.89,1,0.05,482.5,154.4
2023-01-01,Spor & Outdoor,Akdeniz,Mobil Uygulama,Kayıtlı Müşteri,2092.21,1,0.0,2092.21,460.29
2023-01-01,Kozmetik,Akdeniz,Web Sitesi,Sadık Müşteri,704.73,1,0.0,704.73,267.8
2023-01-01,Giyim,Marmara,Web Sitesi,Yeni Müşteri,477.07,1,0.0,477.07,152.66
2023-01-01,Giyim,Karadeniz,Mobil Uygulama,Sadık Müşteri,333.56,1,0.0,333.56,106.74
2023-01-01,Kozmetik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,313.52,1,0.3,219.47,83.4
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Yeni Müşteri,11220.43,1,0.15,9537.36,1335.23
2023-01-01,Elektronik,Ege,Web Sitesi,Kayıtlı Müşteri,7242.79,1,0.3,5069.95,709.79
2023-01-01,Elektronik,İç Anadolu,Web Sitesi,Kayıtlı Müşteri,5388.42,2,0.0,10776.83,1508.76
2023-01-01,Kozmetik,Karadeniz,Mobil Uygulama,Yeni Müşteri,900.0,1,0.1,810.0,307.8
2023-01-01,Ev & Yaşam,Akdeniz,Mobil Uygulama,Kayıtlı Müşteri,2251.33,3,0.3,4727.79,1229.23
2023-01-01,Kozmetik,Marmara,Mobil Uygulama,Sadık Müşteri,525.74,1,0.1,473.16,179.8
2023-01-01,Kozmetik,Doğu & Güneydoğu Anadolu,Mobil Uygulama,Yeni Müşteri,388.38,1,0.0,388.38,147.58
2023-01-01,Giyim,Marmara,Mobil Uygulama,Kayıtlı Müşteri,528.92,1,0.3,370.25,118.48
2023-01-01,Ev & Yaşam,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,2257.63,3,0.05,6434.25,1672.91
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Yeni Müşteri,4742.48,1,0.1,4268.23,597.55
2023-01-01,Elektronik,Doğu & Güneydoğu Anadolu,Mobil Uygulama,Sadık Müşteri,4618.06,2,0.15,7850.71,1099.1
2023-01-01,Ev & Yaşam,Marmara,Mobil Uygulama,Sadık Müşteri,2477.41,1,0.0,2477.41,644.13
2023-01-01,Giyim,Marmara,Mobil Uygulama,Yeni Müşteri,401.83,1,0.1,361.65,115.73
2023-01-01,Ev & Yaşam,İç Anadolu,Web Sitesi,Sadık Müşteri,2475.43,2,0.1,4455.78,1158.5
2023-01-01,Kozmetik,Doğu & Güneydoğu Anadolu,Mobil Uygulama,Sadık Müşteri,648.04,1,0.0,648.04,246.26
2023-01-01,Ev & Yaşam,Karadeniz,Web Sitesi,Yeni Müşteri,3890.74,2,0.0,7781.49,2023.19
2023-01-01,Ev & Yaşam,Akdeniz,Mobil Uygulama,Sadık Müşteri,2285.49,1,0.0,2285.49,594.23
2023-01-01,Ev & Yaşam,Karadeniz,Web Sitesi,Yeni Müşteri,1592.84,2,0.1,2867.1,745.45
2023-01-01,Giyim,Karadeniz,Web Sitesi,Sadık Müşteri,400.7,2,0.0,801.39,256.45
2023-01-01,Elektronik,İç Anadolu,Web Sitesi,Kayıtlı Müşteri,12000.0,1,0.1,10800.0,1512.0
2023-01-01,Giyim,Marmara,Web Sitesi,Kayıtlı Müşteri,556.55,1,0.2,445.24,142.48
2023-01-01,Elektronik,Akdeniz,Web Sitesi,Yeni Müşteri,3726.34,1,0.0,3726.34,521.69
2023-01-01,Giyim,Ege,Web Sitesi,Sadık Müşteri,326.68,2,0.3,457.35,146.35
2023-01-01,Spor & Outdoor,İç Anadolu,Web Sitesi,Yeni Müşteri,1944.82,1,0.0,1944.82,427.86
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Yeni Müşteri,8111.78,3,0.1,21901.81,3066.25
2023-01-01,Elektronik,Akdeniz,Mobil Uygulama,Yeni Müşteri,2822.58,1,0.2,2258.06,316.13
2023-01-01,Giyim,Marmara,Mobil Uygulama,Sadık Müşteri,1200.0,1,0.05,1140.0,364.8
2023-01-01,Giyim,Doğu & Güneydoğu Anadolu,Web Sitesi,Yeni Müşteri,389.47,1,0.0,389.47,124.63
2023-01-01,Ev & Yaşam,Marmara,Mobil Uygulama,Sadık Müşteri,1369.57,1,0.0,1369.57,356.09
2023-01-01,Ev & Yaşam,Marmara,Mobil Uygulama,Kayıtlı Müşteri,1750.43,2,0.15,2975.74,773.69
2023-01-01,Kozmetik,Karadeniz,Web Sitesi,Yeni Müşteri,313.14,1,0.2,250.51,95.19
2023-01-01,Ev & Yaşam,Marmara,Mobil Uygulama,Yeni Müşteri,939.91,1,0.2,751.93,195.5
2023-01-01,Giyim,Marmara,Mobil Uygulama,Yeni Müşteri,505.85,1,0.1,455.27,145.69
2023-01-01,Kozmetik,Ege,Mobil Uygulama,Kayıtlı Müşteri,531.29,1,0.0,531.29,201.89
2023-01-01,Elektronik,Karadeniz,Mobil Uygulama,Sadık Müşteri,8958.17,1,0.15,7614.44,1066.02
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Yeni Müşteri,7313.69,1,0.15,6216.64,870.33
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Sadık Müşteri,5704.95,1,0.05,5419.7,758.76
2023-01-01,Kozmetik,Akdeniz,Mobil Uygulama,Yeni Müşteri,825.52,1,0.15,701.69,266.64
2023-01-01,Giyim,Doğu & Güneydoğu Anadolu,Mobil Uygulama,Sadık Müşteri,510.86,1,0.0,510.86,163.47
2023-01-01,Elektronik,İç Anadolu,Mobil Uygulama,Sadık Müşteri,8778.56,1,0.1,7900.71,1106.1
2023-01-01,Ev & Yaşam,Marmara,Web Sitesi,Sadık Müşteri,1672.67,1,0.05,1589.04,413.15
2023-01-01,Elektronik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,9439.25,2,0.0,18878.49,2642.99
2023-01-01,Kozmetik,Marmara,Web Sitesi,Sadık Müşteri,330.51,1,0.0,330.51,125.59
2023-01-01,Giyim,Marmara,Web Sitesi,Yeni Müşteri,423.96,1,0.0,423.96,135.67
2023-01-01,Giyim,Ege,Mobil Uygulama,Yeni Müşteri,573.17,1,0.05,544.52,174.25
2023-01-01,Giyim,Marmara,Mobil Uygulama,Yeni Müşteri,1026.18,1,0.0,1026.18,328.38
2023-01-01,Ev & Yaşam,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,2603.66,1,0.05,2473.47,643.1
2023-01-01,Giyim,Akdeniz,Web Sitesi,Kayıtlı Müşteri,636.08,1,0.15,540.67,173.01
2023-01-01,Elektronik,Ege,Web Sitesi,Kayıtlı Müşteri,6116.65,1,0.05,5810.81,813.51
2023-01-01,Elektronik,Marmara,Web Sitesi,Sadık Müşteri,3043.13,1,0.15,2586.66,362.13
2023-01-01,Kitap & Kırtasiye,Akdeniz,Mobil Uygulama,Yeni Müşteri,135.72,1,0.0,135.72,27.14
2023-01-01,Spor & Outdoor,Akdeniz,Web Sitesi,Kayıtlı Müşteri,644.97,1,0.1,580.48,127.7
2023-01-01,Kozmetik,Akdeniz,Mobil Uygulama,Yeni Müşteri,900.0,1,0.2,720.0,273.6
2023-01-01,Elektronik,Marmara,Web Sitesi,Yeni Müşteri,3681.72,1,0.1,3313.55,463.9
2023-01-01,Kitap & Kırtasiye,Marmara,Mobil Uygulama,Kayıtlı Müşteri,220.71,1,0.0,220.71,44.14
2023-01-01,Kozmetik,Doğu & Güneydoğu Anadolu,Web Sitesi,Sadık Müşteri,532.67,1,0.0,532.67,202.41
2023-01-01,Kozmetik,İç Anadolu,Web Sitesi,Kayıtlı Müşteri,675.79,1,0.1,608.21,231.12
2023-01-01,Giyim,Marmara,Mobil Uygulama,Yeni Müşteri,1004.51,1,0.1,904.06,289.3
2023-01-01,Elektronik,İç Anadolu,Web Sitesi,Kayıtlı Müşteri,2663.19,1,0.15,2263.71,316.92
2023-01-01,Elektronik,Ege,Mobil Uygulama,Yeni Müşteri,12000.0,1,0.15,10200.0,1428.0
2023-01-01,Spor & Outdoor,Doğu & Güneydoğu Anadolu,Web Sitesi,Sadık Müşteri,1204.28,1,0.2,963.42,211.95
2023-01-01,Giyim,Marmara,Mobil Uygulama,Kayıtlı Müşteri,405.32,1,0.3,283.73,90.79
2023-01-01,Elektronik,Doğu & Güneydoğu Anadolu,Web Sitesi,Yeni Müşteri,10254.06,2,0.0,20508.13,2871.14
2023-01-01,Giyim,Marmara,Mobil Uygulama,Yeni Müşteri,853.46,1,0.0,853.46,273.11
2023-01-01,Ev & Yaşam,Ege,Web Sitesi,Yeni Müşteri,2695.24,1,0.0,2695.24,700.76
2023-01-01,Elektronik,Ege,Web Sitesi,Sadık Müşteri,7169.3,1,0.0,7169.3,1003.7
2023-01-01,Spor & Outdoor,Marmara,Web Sitesi,Kayıtlı Müşteri,1401.44,1,0.1,1261.3,277.49
2023-01-02,Spor & Outdoor,Marmara,Mobil Uygulama,Sadık Müşteri,1496.51,1,0.0,1496.51,329.23
2023-01-02,Ev & Yaşam,Marmara,Mobil Uygulama,Yeni Müşteri,3058.45,3,0.0,9175.36,2385.59
2023-01-02,Elektronik,Marmara,Web Sitesi,Yeni Müşteri,5184.08,1,0.1,4665.68,653.19
2023-01-02,Elektronik,Doğu & Güneydoğu Anadolu,Web Sitesi,Yeni Müşteri,11182.34,2,0.05,21246.45,2974.5
2023-01-02,Kozmetik,Karadeniz,Mobil Uygulama,Kayıtlı Müşteri,237.72,3,0.05,677.5,257.45
2023-01-02,Elektronik,Akdeniz,Web Sitesi,Yeni Müşteri,2986.43,1,0.05,2837.11,397.2
2023-01-02,Ev & Yaşam,İç Anadolu,Mobil Uygulama,Sadık Müşteri,2600.76,1,0.05,2470.72,642.39
2023-01-02,Kitap & Kırtasiye,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,400.0,1,0.0,400.0,80.0
2023-01-02,Elektronik,İç Anadolu,Web Sitesi,Sadık Müşteri,5331.35,1,0.0,5331.35,746.39
2023-01-02,Elektronik,Ege,Mobil Uygulama,Kayıtlı Müşteri,6416.25,1,0.0,6416.25,898.28
2023-01-02,Kitap & Kırtasiye,İç Anadolu,Mobil Uygulama,Sadık Müşteri,250.14,1,0.1,225.13,45.03
2023-01-02,Ev & Yaşam,Marmara,Mobil Uygulama,Yeni Müşteri,3936.91,1,0.0,3936.91,1023.6
2023-01-02,Elektronik,Marmara,Web Sitesi,Kayıtlı Müşteri,2649.59,3,0.0,7948.76,1112.83
2023-01-02,Spor & Outdoor,Doğu & Güneydoğu Anadolu,Web Sitesi,Kayıtlı Müşteri,1658.08,2,0.1,2984.55,656.6
2023-01-02,Spor & Outdoor,İç Anadolu,Web Sitesi,Sadık Müşteri,3064.63,1,0.0,3064.63,674.22
2023-01-02,Ev & Yaşam,Doğu & Güneydoğu Anadolu,Mobil Uygulama,Kayıtlı Müşteri,1623.08,1,0.0,1623.08,422.0
2023-01-02,Ev & Yaşam,Marmara,Mobil Uygulama,Sadık Müşteri,2272.15,1,0.0,2272.15,590.76
2023-01-02,Elektronik,Ege,Web Sitesi,Yeni Müşteri,7747.67,2,0.0,15495.34,2169.35
2023-01-02,Elektronik,Marmara,Mobil Uygulama,Sadık Müşteri,3037.04,2,0.0,6074.08,850.37
2023-01-02,Ev & Yaşam,Marmara,Web Sitesi,Kayıtlı Müşteri,1380.02,1,0.0,1380.02,358.81
2023-01-02,Giyim,Marmara,Web Sitesi,Kayıtlı Müşteri,990.77,1,0.05,941.23,301.19
2023-01-02,Ev & Yaşam,Marmara,Mobil Uygulama,Sadık Müşteri,1842.89,1,0.0,1842.89,479.15
2023-01-02,Spor & Outdoor,Karadeniz,Web Sitesi,Kayıtlı Müşteri,1953.02,1,0.0,1953.02,429.66
2023-01-02,Elektronik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,9308.89,1,0.0,9308.89,1303.24
2023-01-02,Ev & Yaşam,Ege,Mobil Uygulama,Kayıtlı Müşteri,1792.57,1,0.0,1792.57,466.07
2023-01-02,Elektronik,İç Anadolu,Mobil Uygulama,Yeni Müşteri,2946.13,1,0.0,2946.13,412.46
2023-01-02,Spor & Outdoor,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,1476.67,3,0.0,4430.02,974.6
2023-01-02,Elektronik,Ege,Web Sitesi,Yeni Müşteri,10184.13,1,0.0,10184.13,1425.78
2023-01-02,Ev & Yaşam,Marmara,Web Sitesi,Yeni Müşteri,1083.03,1,0.0,1083.03,281.59
2023-01-02,Ev & Yaşam,Doğu & Güneydoğu Anadolu,Web Sitesi,Sadık Müşteri,2307.32,3,0.0,6921.97,1799.71
2023-01-02,Giyim,Akdeniz,Web Sitesi,Kayıtlı Müşteri,557.53,1,0.0,557.53,178.41
2023-01-02,Ev & Yaşam,Akdeniz,Mobil Uygulama,Kayıtlı Müşteri,2547.27,1,0.05,2419.91,629.18
2023-01-02,Kozmetik,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,900.0,1,0.05,855.0,324.9
2023-01-02,Ev & Yaşam,Marmara,Web Sitesi,Kayıtlı Müşteri,2109.4,1,0.0,2109.4,548.44
2023-01-02,Kozmetik,Doğu & Güneydoğu Anadolu,Web Sitesi,Kayıtlı Müşteri,724.92,3,0.0,2174.77,826.41
2023-01-02,Kitap & Kırtasiye,İç Anadolu,Mobil Uygulama,Sadık Müşteri,264.41,2,0.0,528.82,105.76
2023-01-02,Giyim,Marmara,Mobil Uygulama,Sadık Müşteri,358.74,1,0.0,358.74,114.8
2023-01-02,Ev & Yaşam,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,914.06,1,0.0,914.06,237.66
2023-01-02,Elektronik,Akdeniz,Mobil Uygulama,Kayıtlı Müşteri,6112.98,1,0.05,5807.33,813.03
2023-01-02,Kozmetik,Ege,Web Sitesi,Kayıtlı Müşteri,436.8,1,0.1,393.12,149.39
2023-01-02,Ev & Yaşam,Akdeniz,Mobil Uygulama,Kayıtlı Müşteri,1698.53,1,0.0,1698.53,441.62
2023-01-02,Giyim,Akdeniz,Web Sitesi,Kayıtlı Müşteri,824.65,2,0.05,1566.84,501.39
2023-01-02,Elektronik,Marmara,Web Sitesi,Kayıtlı Müşteri,8726.6,1,0.0,8726.6,1221.72
2023-01-02,Spor & Outdoor,Doğu & Güneydoğu Anadolu,Web Sitesi,Kayıtlı Müşteri,970.38,1,0.0,970.38,213.48
2023-01-02,Giyim,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,484.99,1,0.0,484.99,155.2
2023-01-02,Kozmetik,Ege,Mobil Uygulama,Kayıtlı Müşteri,290.17,1,0.0,290.17,110.26
2023-01-02,Elektronik,Marmara,Web Sitesi,Kayıtlı Müşteri,7111.48,1,0.05,6755.91,945.83
2023-01-02,Kitap & Kırtasiye,Doğu & Güneydoğu Anadolu,Web Sitesi,Yeni Müşteri,126.34,2,0.0,252.68,50.54
2023-01-02,Elektronik,Marmara,Mobil Uygulama,Yeni Müşteri,11164.82,1,0.0,11164.82,1563.08
2023-01-02,Elektronik,Marmara,Web Sitesi,Kayıtlı Müşteri,7697.35,1,0.05,7312.48,1023.75
2023-01-02,Spor & Outdoor,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,3500.0,1,0.0,3500.0,770.0
2023-01-02,Spor & Outdoor,Marmara,Web Sitesi,Yeni Müşteri,2303.53,1,0.0,2303.53,506.78
2023-01-02,Elektronik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,2884.65,1,0.1,2596.19,363.47
2023-01-02,Giyim,Ege,Mobil Uygulama,Kayıtlı Müşteri,1155.03,1,0.05,1097.28,351.13
2023-01-02,Kozmetik,İç Anadolu,Mobil Uygulama,Yeni Müşteri,265.64,1,0.05,252.35,95.89
2023-01-02,Spor & Outdoor,Doğu & Güneydoğu Anadolu,Mobil Uygulama,Sadık Müşteri,1653.7,1,0.0,1653.7,363.81
2023-01-02,Giyim,Marmara,Mobil Uygulama,Sadık Müşteri,1097.51,1,0.0,1097.51,351.2
2023-01-02,Ev & Yaşam,Akdeniz,Mobil Uygulama,Kayıtlı Müşteri,2673.39,1,0.0,2673.39,695.08
2023-01-02,Kozmetik,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,730.99,2,0.0,1461.98,555.55
2023-01-02,Kozmetik,Ege,Web Sitesi,Yeni Müşteri,305.21,1,0.05,289.95,110.18
2023-01-02,Kozmetik,Ege,Mobil Uygulama,Sadık Müşteri,309.24,2,0.05,587.55,223.27
2023-01-02,Ev & Yaşam,İç Anadolu,Web Sitesi,Kayıtlı Müşteri,2955.11,1,0.0,2955.11,768.33
2023-01-02,Elektronik,Doğu & Güneydoğu Anadolu,Web Sitesi,Sadık Müşteri,11360.98,2,0.0,22721.96,3181.07
2023-01-02,Spor & Outdoor,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,1253.99,1,0.0,1253.99,275.88
2023-01-02,Spor & Outdoor,Marmara,Mobil Uygulama,Yeni Müşteri,889.24,1,0.1,800.31,176.07
2023-01-02,Kozmetik,Ege,Web Sitesi,Yeni Müşteri,398.72,2,0.0,797.45,303.03
2023-01-02,Elektronik,Karadeniz,Web Sitesi,Kayıtlı Müşteri,4430.79,1,0.05,4209.25,589.29
2023-01-02,Elektronik,Marmara,Mobil Uygulama,Kayıtlı Müşteri,5759.42,2,0.0,11518.85,1612.64
2023-01-02,Kozmetik,İç Anadolu,Web Sitesi,Yeni Müşteri,325.47,2,0.0,650.94,247.36
2023-01-02,Elektronik,Karadeniz,Mobil Uygulama,Kayıtlı Müşteri,4621.81,3,0.0,13865.43,1941.16
2023-01-02,Kitap & Kırtasiye,Akdeniz,Mobil Uygulama,Sadık Müşteri,298.57,1,0.0,298.57,59.71
2023-01-02,Giyim,Doğu & Güneydoğu Anadolu,Web Sitesi,Kayıtlı Müşteri,579.69,1,0.0,579.69,185.5
2023-01-02,Kozmetik,Ege,Mobil Uygulama,Kayıtlı Müşteri,244.35,1,0.0,244.35,92.85
2023-01-02,Spor & Outdoor,Ege,Web Sitesi,Yeni Müşteri,2859.76,3,0.0,8579.28,1887.44
2023-01-02,Giyim,Marmara,Mobil Uygulama,Sadık Müşteri,1093.13,1,0.05,1038.47,332.31
2023-01-02,Giyim,Doğu & Güneydoğu Anadolu,Web Sitesi,Kayıtlı Müşteri,466.42,1,0.05,443.1,141.79
2023-01-02,Ev & Yaşam,İç Anadolu,Mobil Uygulama,Sadık Müşteri,705.12,1,0.0,705.12,183.33
2023-01-02,Ev & Yaşam,Akdeniz,Mobil Uygulama,Kayıtlı Müşteri,1649.68,1,0.05,1567.2,407.47
2023-01-02,Giyim,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,591.84,1,0.1,532.66,170.45
2023-01-02,Ev & Yaşam,Ege,Mobil Uygulama,Yeni Müşteri,2482.37,1,0.1,2234.13,580.87
2023-01-02,Kitap & Kırtasiye,Akdeniz,Web Sitesi,Yeni Müşteri,400.0,1,0.05,380.0,76.0
2023-01-02,Giyim,İç Anadolu,Mobil Uygulama,Sadık Müşteri,1065.48,1,0.0,1065.48,340.95
2023-01-02,Elektronik,Karadeniz,Mobil Uygulama,Kayıtlı Müşteri,5343.56,1,0.0,5343.56,748.1
2023-01-02,Giyim,İç Anadolu,Mobil Uygulama,Kayıtlı Müşteri,698.78,2,0.05,1327.68,424.86
2023-01-02,Giyim,Ege,Mobil Uygulama,Sadık Müşteri,728.63,1,0.0,728.63,233.16
2023-01-02,Elektronik,İç Anadolu,Web Sitesi,Sadık Müşteri,6371.41,2,0.0,12742.83,1784.0
2023-01-02,Elektronik,İç Anadolu,Mobil Uygulama,Sadık Müşteri,12000.0,2,0.0,24000.0,3360.0
2023-01-02,Kozmetik,İç Anadolu,Web Sitesi,Yeni Müşteri,333.84,1,0.0,333.84,126.86
2023-01-02,Giyim,Marmara,Mobil Uygulama,Kayıtlı Müşteri,901.72,1,0.1,811.55,259.7
2023-01-02,Kitap & Kırtasiye,Marmara,Web Sitesi,Sadık Müşteri,357.83,2,0.0,715.66,143.13
2023-01-02,Elektronik,Ege,Mobil Uygulama,Kayıtlı Müşteri,7280.72,2,0.0,14561.44,2038.6
2023-01-02,Elektronik,Ege,Mobil Uygulama,Yeni Müşteri,4231.71,1,0.0,4231.71,592.44
2023-01-02,Kozmetik,Ege,Web Sitesi,Sadık Müşteri,533.85,2,0.05,1014.31,385.44
2023-01-02,Spor & Outdoor,Marmara,Web Sitesi,Kayıtlı Müşteri,2789.9,2,0.0,5579.8,1227.56
2023-01-02,Elektronik,Marmara,Web Sitesi,Kayıtlı Müşteri,3172.28,2,0.05,6027.33,843.83
2023-01-02,Elektronik,Marmara,Mobil Uygulama,Sadık Müşteri,4998.13,1,0.0,4998.13,699.74
2023-01-02,Elektronik,Akdeniz,Mobil Uygulama,Kayıtlı Müşteri,6299.74,1,0.0,6299.74,881.96
2023-01-02,Ev & Yaşam,Karadeniz,Web Sitesi,Kayıtlı Müşteri,1868.57,1,0.1,1681.72,437.25
2023-01-02,Giyim,Marmara,Mobil Uygulama,Kayıtlı Müşteri,1134.86,1,0.0,1134.86,363.16
2023-01-02,Elektronik,Ege,Web Sitesi,Kayıtlı Müşteri,5529.24,1,0.05,5252.78,735.39
2023-01-02,Elektronik,Marmara,Mobil Uygulama,Yeni Müşteri,2785.8,1,0.1,2507.22,351.01
2023-01-02,Giyim,Marmara,Mobil Uygulama,Sadık Müşteri,1200.0,1,0.0,1200.0,384.0
2023-01-02,Kitap & Kırtasiye,Marmara,Web Sitesi,Sadık Müşteri,400.0,3,0.0,1200.0,240.0
2023-01-02,Ev & Yaşam,Marmara,Web Sitesi,Yeni Müşteri,2239.73,2,0.0,4479.46,1164.66
2023-01-02,Giyim,Ege,Mobil Uygulama,Yeni Müşteri,467.34,1,0.1,420.61,134.59
2023-01-02,Elektronik,Karadeniz,Mobil Uygulama,Sadık Müşteri,6535.56,1,0.05,6208.78,869.23
2023-01-02,Elektronik,Marmara,Web Sitesi,Yeni Müşteri,2973.32,1,0.0,2973.32,416.26
2023-01-02,Giyim,Ege,Mobil Uygulama,Kayıtlı Müşteri,461.63,1,0.0,461.63,147.72
2023-01-02,Kozmetik,Akdeniz,Mobil Uygulama,Kayıtlı Müşteri,296.28,1,0.0,296.28,112.59
2023-01-02,Spor & Outdoor,Doğu & Güneydoğu Anadolu,Mobil Uygulama,Kayıtlı Müşteri,1349.87,1,0.05,1282.38,282.12
2023-01-02,Spor & Outdoor,Ege,Web Sitesi,Yeni Müşteri,2012.47,1,0.1,1811.22,398.47
